2,1,0,0,1,0.00666667,300.0
13,1,0,0,1,0.04333333,25.0
5,1,0,0,1,0.01666667,75.0
30,1,0,0,1,0.1,10.34482759
3,1,0,0,1,0.01,150.0
8,1,0,0,1,0.02666667,42.85714286
3,1,0,0,1,0.01,150.0
9,1,0,0,1,0.03,37.5
8,1,0,0,1,0.02666667,42.85714286
1,1,0,0,1,0.0,10.0
5,1,0,0,1,0.01666667,75.0
14,1,0,0,1,0.04666667,23.07692308
33,1,0,0,1,0.11,9.375
9,1,0,0,1,0.03,37.5
181,1,0,0,1,0.60333333,1.66666667
2,1,0,0,1,0.00666667,300.0
122,1,0,0,1,0.40666667,2.47933884
22,1,0,0,1,0.07333333,14.28571429
1,1,0,0,1,0.0,10.0
4,1,0,0,1,0.01333333,100.0
11,1,0,0,1,0.03666667,30.0
44,1,0,0,1,0.14666667,6.97674419
10,1,0,0,1,0.03333333,33.33333333
26,1,0,0,1,0.08666667,12.0
120,1,0,0,1,0.4,2.5210084
73,1,0,0,1,0.24333333,4.16666667
148,1,0,0,1,0.49333333,2.04081633
2,1,0,0,1,0.00666667,300.0
4,1,0,0,1,0.01333333,100.0
1,1,0,0,1,0.0,10.0
1,1,0,0,1,0.0,10.0
3,1,0,0,1,0.01,150.0
9,1,0,0,1,0.03,37.5
1,1,0,0,1,0.0,10.0
10,1,0,0,1,0.03333333,33.33333333
10,1,0,0,1,0.03333333,33.33333333
2,1,0,0,1,0.00666667,300.0
9,1,0,0,1,0.03,37.5
10,1,0,0,1,0.03333333,33.33333333
3,1,0,0,1,0.01,150.0
11,1,0,0,1,0.03666667,30.0
3,1,0,0,1,0.01,150.0
109,1,0,0,1,0.36333333,2.77777778
1,1,0,0,1,0.0,10.0
1,1,0,0,1,0.0,10.0
4,1,0,0,1,0.01333333,100.0
2,1,0,0,1,0.00666667,300.0
32,1,0,0,1,0.10666667,9.67741935
1,1,0,0,1,0.0,10.0
1,1,0,0,1,0.0,10.0
3,1,0,0,1,0.01,150.0
1,1,0,0,1,0.0,10.0
15,1,0,0,1,0.05,21.42857143
2,1,0,0,1,0.00666667,300.0
21,1,0,0,1,0.07,15.0
1,1,0,0,1,0.0,10.0
3,1,0,0,1,0.01,150.0
2,1,0,0,1,0.00666667,300.0
1,1,0,0,1,0.0,10.0
1,1,0,0,1,0.0,10.0
4,1,0,0,1,0.01333333,100.0
4,1,0,0,1,0.01333333,100.0
6,1,0,0,1,0.02,60.0
7,1,0,0,1,0.02333333,50.0
9,1,0,0,1,0.03,37.5
1,1,0,0,1,0.0,10.0
96,1,0,0,1,0.32,3.15789474
79,1,0,0,1,0.26333333,3.84615385
2,1,0,0,1,0.00666667,300.0
1,1,0,0,1,0.0,10.0
3,1,0,0,1,0.01,150.0
3,1,0,0,1,0.01,150.0
9,1,0,0,1,0.03,37.5
8,1,0,0,1,0.02666667,42.85714286
2,1,0,0,1,0.00666667,300.0
2,1,0,0,1,0.00666667,300.0
3,1,0,0,1,0.01,150.0
2,1,0,0,1,0.00666667,300.0
278,1,0,0,1,0.92666667,1.08303249
4,1,0,0,1,0.01333333,100.0
2,1,0,0,1,0.00666667,300.0
222,1,0,0,1,0.74,1.35746606
2,1,0,0,1,0.00666667,300.0
1,1,0,0,1,0.0,10.0
1,1,0,0,1,0.0,10.0
3,1,0,0,1,0.01,150.0
11,1,0,0,1,0.03666667,30.0
2,1,0,0,1,0.00666667,300.0
1,1,0,0,1,0.0,10.0
1,1,0,0,1,0.0,10.0
1,1,0,0,1,0.0,10.0
1,1,0,0,1,0.0,10.0
1,1,0,0,1,0.0,10.0
1,1,0,0,1,0.0,10.0
12,1,0,0,1,0.04,27.27272727
10,1,0,0,1,0.03333333,33.33333333
19,1,0,0,1,0.06333333,16.66666667
4,1,0,0,1,0.01333333,100.0
1,1,0,0,1,0.0,10.0
5,1,0,0,1,0.01666667,75.0
4,1,0,0,1,0.01333333,100.0
6,1,0,0,1,0.02,60.0
17,1,0,0,1,0.05666667,18.75
1,1,0,0,1,0.0,10.0
1,1,0,0,1,0.0,10.0
2,1,0,0,1,0.00666667,300.0
1,1,0,0,1,0.0,10.0
